"","OLS MSE","Random Forest MSE","Gradient Boosting MSE"
"67",0.0707556489849605,0.0677170682511179,0.0680852214348521
"68",0.0822246942120234,0.084855833426808,0.0824191223067818
"69",0.0852623991122448,0.0832134062161644,0.0821842665771302
"70",0.0710990279501551,0.0738797443560822,0.0706278999445878
"71",0.092367272718348,0.0937609894284628,0.0928905062686787
"72",0.0867549784184833,0.0879329978229333,0.0855797098756389
"73",0.0762897106745482,0.0763693816150699,0.0753350277494382
"74",0.0793485015999001,0.0770348668930005,0.0768705388322668
"75",0.0860960412142365,0.0847588608458827,0.0827388078710973
"76",0.076930461863685,0.0744163295146549,0.0739773929071146
"77",0.0809851923836638,0.0789369600269696,0.0779061803211869
"78",0.0814928075903584,0.076892919833463,0.0766694776420182
"79",0.0780463346702271,0.0780176488473445,0.0772256549452313
"80",0.0663265265402601,0.0686390266391263,0.0673912164912344
"81",0.0771056808043958,0.0796725590559053,0.076156884993193
"82",0.0678317772025738,0.0656483491712801,0.0650467075701193
"83",0.081366353047877,0.0858956677185259,0.0843105856084431
"84",0.0797874871977184,0.0825581181050584,0.0795258189100852
"85",0.0793916567879679,0.0836361558176079,0.0796197651056023
"86",0.0854278769752364,0.0862412307948044,0.0852333468731681
"87",0.0673681810766474,0.0662213371891948,0.0636366803229363
"88",0.0943855120119523,0.0965356761637683,0.0969612511184377
"89",0.0899728261591801,0.0896222607778881,0.0888291512526991
"90",0.0824004384971807,0.0795940484683695,0.0784811972499474
"91",0.0821819145703231,0.0862696346605085,0.0822114696041976
"92",0.0673705647236944,0.0661081123110168,0.0648177796969523
"93",0.0767534061586997,0.0758220899624583,0.0748052438693491
"94",0.0780180862507464,0.0758290989854668,0.0753126472504532
"95",0.0698018108641373,0.0714651968413541,0.0689499374730594
"96",0.0850217009041455,0.0857421378329245,0.083308905616253
"97",0.073754885213031,0.0729880542730198,0.0724155335098433
"98",0.0775666248861006,0.074065113478635,0.0728435754283154
"99",0.0823453992675226,0.0804749600621971,0.0805505474769819
"100",0.076106571712312,0.0765202250975883,0.0749133020282428
