"","OLS MSE","Random Forest MSE","Gradient Boosting MSE"
"42",0.0760215100581886,0.0757003704587444,0.0724446358376444
"43",0.0812361734535964,0.0853408553999275,0.0806900272077988
"44",0.068168116994712,0.0750578817787921,0.0676942849366244
"45",0.0690671417078076,0.0742826301470224,0.0660293454419169
"46",0.0774282584618763,0.0800575423351702,0.0761127041811591
"47",0.0757743694729546,0.0782439725228685,0.0753053847006589
"48",0.0760052434898792,0.0781856474041933,0.0746321891636835
"49",0.0838779423951568,0.0882407299134161,0.082315237355284
"50",0.0662799775194167,0.069522063566147,0.0655906859840554
"51",0.0692842071347252,0.0752414290758073,0.0673530326721579
"52",0.070196425514027,0.0727854070737428,0.0669523202166038
"53",0.0740557363795519,0.0768759190645005,0.0724426083194076
"54",0.0803314190666212,0.0833236503234086,0.0776198225633675
"55",0.0782786079774742,0.083195900701352,0.076090885183338
"56",0.0744808908016527,0.0770748350522295,0.0722983291190211
"57",0.0813732162999054,0.086281127368845,0.0806735580388406
"58",0.0777112263056753,0.0798455578152727,0.0761428877271283
"59",0.071998496608204,0.0742891931739267,0.0690957036009894
"60",0.0817178479884811,0.0859783452676988,0.081298756843739
"61",0.0725488811467217,0.080110485030834,0.0716875517367958
"62",0.0781190373682276,0.0764637913553097,0.0744599534120531
"63",0.0733626151002688,0.073463982595656,0.0698884616928734
"64",0.0747010502753762,0.076985326130231,0.0722782449442893
"65",0.0663538370331048,0.0747648536006123,0.0667684755000969
"66",0.0752125145564874,0.0759249749063121,0.0723043658391318
"67",0.0731659796894765,0.0808336078994316,0.072962922659771
"68",0.0776170532022157,0.0777713657741226,0.0748953241157584
"69",0.0784559673221991,0.0820342083005267,0.0755295982749077
"70",0.0777160395687482,0.0838931622048086,0.077642041831927
"71",0.083137799092521,0.0864235164259246,0.0812461938229389
"72",0.0728704419308271,0.0793131993949042,0.0710830869009589
"73",0.0741738756907263,0.0783075109706655,0.0721752820418763
"74",0.0772208773909386,0.0826844728330931,0.0746395845838834
"75",0.0856887770463256,0.0891003577453038,0.0839206823506301
"76",0.0786164760259754,0.0818498381877327,0.0780476482263928
"77",0.0875211212713838,0.0948645453408598,0.086560831675297
"78",0.0856390473621828,0.0909203714761997,0.0862062002575557
"79",0.0796686527719677,0.0849675766160149,0.0785430900618845
"80",0.0759077680263586,0.0809352807230942,0.0752446197745965
"81",0.0735626249913756,0.0776178186132451,0.071274385674926
"82",0.0794506419354482,0.0823658874345038,0.0763048770192877
"83",0.0716083375977762,0.0754335950720203,0.0689699232917634
"84",0.0867105257090804,0.0872823178736048,0.0830513101979611
"85",0.0744248584315698,0.0754589009765165,0.070682892653764
"86",0.0833734551530532,0.0875788436096459,0.0807769052496459
"87",0.0706734001675792,0.0735315482524157,0.0680707574414014
"88",0.0799894615015566,0.0793448340794909,0.0761092430460046
"89",0.09131825531243,0.0953487849389049,0.0884021009430091
"90",0.0758621380480649,0.081474441349975,0.0751498058929005
"91",0.0884888140501965,0.0883514823776131,0.084033398299762
"92",0.074413176762177,0.0793799728780925,0.072238304323968
"93",0.08239274859983,0.0829280990391371,0.0790511513109881
"94",0.0738160006798785,0.0730893485585541,0.0716202515629768
"95",0.0616288300488871,0.0631647623563237,0.0590807184578096
"96",0.0747083649229478,0.0769928486538119,0.0732790355345966
"97",0.0801772217261922,0.0841943000659081,0.0764304423717199
"98",0.0734123289372541,0.0795287741111445,0.0712988364612956
"99",0.0739874144359988,0.0788424204967121,0.0747516276429892
"100",0.0877895470508801,0.0919975510859272,0.0860694841273263
